t,rj0,rj1,rj2,rj3,rj4,rj5,rj6
1.0800,0.000000,0.275370,0.131305,-0.849852,0.000000,0.000000,0.000000
1.1000,0.000000,0.400000,0.150000,-0.800000,0.000000,0.000000,0.000000
1.1200,0.000000,0.524630,0.168695,-0.750148,0.000000,0.000000,0.000000
1.1400,0.000000,0.647053,0.187058,-0.701179,0.000000,0.000000,0.000000
1.1600,0.000000,0.765120,0.204768,-0.653952,0.000000,0.000000,0.000000
1.1800,0.000000,0.876802,0.221520,-0.609279,0.000000,0.000000,0.000000
1.2000,0.000000,0.980247,0.237037,-0.567901,0.000000,0.000000,0.000000
1.2200,0.000000,1.073840,0.251076,-0.530464,0.000000,0.000000,0.000000
1.2400,0.000000,1.156263,0.263439,-0.497495,0.000000,0.000000,0.000000
1.2600,0.000000,1.226552,0.273983,-0.469379,0.000000,0.000000,0.000000
1.2800,0.000000,1.284160,0.282624,-0.446336,0.000000,0.000000,0.000000
1.3000,0.000000,1.329012,0.289352,-0.428395,0.000000,0.000000,0.000000
1.3200,0.000000,1.361568,0.294235,-0.415373,0.000000,0.000000,0.000000
1.3400,0.000000,1.382880,0.297432,-0.406848,0.000000,0.000000,0.000000
1.3600,0.000000,1.394651,0.299198,-0.402140,0.000000,0.000000,0.000000
1.3800,0.000000,1.399296,0.299894,-0.400282,0.000000,0.000000,0.000000
1.4000,0.000000,1.400000,0.300000,-0.400000,0.000000,0.000000,0.000000
1.4200,0.000000,1.399937,0.299986,-0.399982,0.000000,0.000000,0.000000
1.4400,0.000000,1.399507,0.299894,-0.399859,0.000000,0.000000,0.000000
1.4600,0.000000,1.398379,0.299653,-0.399537,0.000000,0.000000,0.000000
1.4800,0.000000,1.396256,0.299198,-0.398930,0.000000,0.000000,0.000000
1.5000,0.000000,1.392877,0.298474,-0.397965,0.000000,0.000000,0.000000
1.5200,0.000000,1.388016,0.297432,-0.396576,0.000000,0.000000,0.000000
1.5400,0.000000,1.381477,0.296031,-0.394708,0.000000,0.000000,0.000000
1.5600,0.000000,1.373098,0.294235,-0.392314,0.000000,0.000000,0.000000
1.5800,0.000000,1.362743,0.292016,-0.389355,0.000000,0.000000,0.000000
1.6000,0.000000,1.350309,0.289352,-0.385802,0.000000,0.000000,0.000000
1.6200,0.000000,1.335716,0.286225,-0.381633,0.000000,0.000000,0.000000
1.6400,0.000000,1.318912,0.282624,-0.376832,0.000000,0.000000,0.000000
1.6600,0.000000,1.299870,0.278544,-0.371392,0.000000,0.000000,0.000000
1.6800,0.000000,1.278586,0.273983,-0.365310,0.000000,0.000000,0.000000
1.7000,0.000000,1.255078,0.268945,-0.358594,0.000000,0.000000,0.000000
1.7200,0.000000,1.229384,0.263439,-0.351253,0.000000,0.000000,0.000000
1.7400,0.000000,1.201562,0.257478,-0.343303,0.000000,0.000000,0.000000
1.7600,0.000000,1.171688,0.251076,-0.334768,0.000000,0.000000,0.000000
1.7800,0.000000,1.139855,0.244255,-0.325673,0.000000,0.000000,0.000000
1.8000,0.000000,1.106173,0.237037,-0.316049,0.000000,0.000000,0.000000
1.8200,0.000000,1.070763,0.229449,-0.305932,0.000000,0.000000,0.000000
1.8400,0.000000,1.033761,0.221520,-0.295360,0.000000,0.000000,0.000000
1.8600,0.000000,0.995316,0.213282,-0.284376,0.000000,0.000000,0.000000
1.8800,0.000000,0.955584,0.204768,-0.273024,0.000000,0.000000,0.000000
1.9000,0.000000,0.914733,0.196014,-0.261352,0.000000,0.000000,0.000000
1.9200,0.000000,0.872937,0.187058,-0.249411,0.000000,0.000000,0.000000
1.9400,0.000000,0.830378,0.177938,-0.237251,0.000000,0.000000,0.000000
1.9600,0.000000,0.787241,0.168695,-0.224926,0.000000,0.000000,0.000000
1.9800,0.000000,0.743718,0.159368,-0.212491,0.000000,0.000000,0.000000
2.0000,0.000000,0.700000,0.150000,-0.200000,0.000000,0.000000,0.000000
2.0200,0.000000,0.656282,0.140632,-0.187509,0.000000,0.000000,0.000000
2.0400,0.000000,0.612759,0.131305,-0.175074,0.000000,0.000000,0.000000
2.0600,0.000000,0.569622,0.122062,-0.162749,0.000000,0.000000,0.000000
2.0800,0.000000,0.527063,0.112942,-0.150589,0.000000,0.000000,0.000000
2.1000,0.000000,0.485267,0.103986,-0.138648,0.000000,0.000000,0.000000
2.1200,0.000000,0.444416,0.095232,-0.126976,0.000000,0.000000,0.000000
2.1400,0.000000,0.404684,0.086718,-0.115624,0.000000,0.000000,0.000000
2.1600,0.000000,0.366239,0.078480,-0.104640,0.000000,0.000000,0.000000
2.1800,0.000000,0.329237,0.070551,-0.094068,0.000000,0.000000,0.000000
2.2000,0.000000,0.293827,0.062963,-0.083951,0.000000,0.000000,0.000000
2.2200,0.000000,0.260145,0.055745,-0.074327,0.000000,0.000000,0.000000
2.2400,0.000000,0.228312,0.048924,-0.065232,0.000000,0.000000,0.000000
2.2600,0.000000,0.198438,0.042522,-0.056697,0.000000,0.000000,0.000000
2.2800,0.000000,0.170616,0.036561,-0.048747,0.000000,0.000000,0.000000
2.3000,0.000000,0.144922,0.031055,-0.041406,0.000000,0.000000,0.000000
2.3200,0.000000,0.121414,0.026017,-0.034690,0.000000,0.000000,0.000000
2.3400,0.000000,0.100130,0.021456,-0.028608,0.000000,0.000000,0.000000
2.3600,0.000000,0.081088,0.017376,-0.023168,0.000000,0.000000,0.000000
2.3800,0.000000,0.064284,0.013775,-0.018367,0.000000,0.000000,0.000000
2.4000,0.000000,0.049691,0.010648,-0.014198,0.000000,0.000000,0.000000
2.4200,0.000000,0.037257,0.007984,-0.010645,0.000000,0.000000,0.000000
2.4400,0.000000,0.026902,0.005765,-0.007686,0.000000,0.000000,0.000000
2.4600,0.000000,0.018523,0.003969,-0.005292,0.000000,0.000000,0.000000
2.4800,0.000000,0.011984,0.002568,-0.003424,0.000000,0.000000,0.000000
2.5000,0.000000,0.007123,0.001526,-0.002035,0.000000,0.000000,0.000000
2.5200,0.000000,0.003744,0.000802,-0.001070,0.000000,0.000000,0.000000
2.5400,0.000000,0.001621,0.000347,-0.000463,0.000000,0.000000,0.000000
2.5600,0.000000,0.000493,0.000106,-0.000141,0.000000,0.000000,0.000000
2.5800,0.000000,0.000063,0.000014,-0.000018,0.000000,0.000000,0.000000
2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
